,0,1,2,3,4,5,6,7,8,9
29,37i9dQZF1DX0XUsuxWHRQd,6g6FfeozIEkVUXecpSq16Q,0.826,0.583,0.0626,0.441,0.0,0.155,0.539,140.039
30,37i9dQZF1DX0XUsuxWHRQd,0VlpgNPHWCyh8xxLcaK2fp,0.824,0.577,0.357,0.0109,0.0,0.107,0.442,154.081
31,37i9dQZF1DX0XUsuxWHRQd,5QNW6Vx14N4OfJ7D0eDg0d,0.625,0.542,0.266,0.0223,0.0,0.377,0.328,152.403
32,37i9dQZF1DX0XUsuxWHRQd,4XAQVDjEXZriZR9pe2tdQQ,0.719,0.611,0.207,0.00222,1.3e-06,0.336,0.503,144.929
33,37i9dQZF1DX0XUsuxWHRQd,2pqu2XTbal0GehjBj2BDkv,0.776,0.671,0.255,0.123,0.0,0.0913,0.456,147.06
34,37i9dQZF1DX0XUsuxWHRQd,70jjParnrP2X3mOVkoljGE,0.862,0.547,0.333,0.144,0.0,0.0691,0.645,145.191
35,37i9dQZF1DX0XUsuxWHRQd,0P2P1AxcRYhiZvoF5MyRmM,0.688,0.842,0.264,0.0499,0.0,0.241,0.416,159.897
36,37i9dQZF1DX0XUsuxWHRQd,3KNxJvz0dM6aPb6bVJdyKi,0.801,0.794,0.315,0.0771,0.0,0.204,0.757,119.044
37,37i9dQZF1DX0XUsuxWHRQd,08hYZJIjLZwUVDiMzzeu0q,0.895,0.468,0.378,0.342,0.0,0.213,0.428,118.019
38,37i9dQZF1DX0XUsuxWHRQd,2PljnVsnl2PRwCvfhbdQup,0.787,0.522,0.463,0.0668,0.0,0.108,0.666,170.439
39,37i9dQZF1DX0XUsuxWHRQd,5vhrsx08dHh2QcVh1Rsiwt,0.644,0.671,0.315,0.0225,0.0,0.0855,0.563,132.001
40,37i9dQZF1DX0XUsuxWHRQd,2BxboWjnfktO1E9HGfPXq1,0.911,0.667,0.277,0.0313,0.0,0.0854,0.78,147.976
41,37i9dQZF1DX0XUsuxWHRQd,7LczcBaamU9pTkV4Cl9NyX,0.916,0.824,0.422,0.222,0.00108,0.0661,0.87,139.926
42,37i9dQZF1DX0XUsuxWHRQd,3z8OCUCuwJop3DB4tIMsRX,0.747,0.665,0.167,0.0783,1.58e-06,0.786,0.76,144.013
43,37i9dQZF1DX0XUsuxWHRQd,41jxlPqpPqiky977DkJrpY,0.941,0.514,0.329,0.153,1.82e-06,0.104,0.573,126.046
44,37i9dQZF1DX0XUsuxWHRQd,4wJKTG3bAleqUXmylh83Id,0.883,0.507,0.244,0.366,0.0,0.136,0.294,138.008
45,37i9dQZF1DX0XUsuxWHRQd,0RkCnqwF8Tfl2QGPZwopyk,0.87,0.835,0.311,0.0353,0.0,0.142,0.901,140.051
46,37i9dQZF1DX0XUsuxWHRQd,3zQ61IRdlSbEyYQlwQZZxS,0.707,0.909,0.261,0.413,0.0,0.305,0.703,145.014
47,37i9dQZF1DX0XUsuxWHRQd,34617Qo6OTu44BEEg2f9uG,0.834,0.574,0.0716,0.11,0.0,0.131,0.544,96.999
48,37i9dQZF1DX0XUsuxWHRQd,1BzXvBpIFWJgu0P8P6xmP4,0.671,0.857,0.292,0.266,0.0,0.668,0.597,118.574
49,37i9dQZF1DX0XUsuxWHRQd,6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,0.0442,0.0295,0.0,0.397,0.0692,130.045
0,37i9dQZF1DX1lVhptIYRda,4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,0.0436,0.0513,0.0,0.106,0.46,160.087
1,37i9dQZF1DX1lVhptIYRda,7xNYZeFtrB05pi9tc6lEeb,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,79.805
2,37i9dQZF1DX1lVhptIYRda,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,175.212
3,37i9dQZF1DX1lVhptIYRda,0XxNamjHxu0ercIQmWNkRT,0.502,0.662,0.0293,0.00322,0.00274,0.119,0.4,110.917
4,37i9dQZF1DX1lVhptIYRda,4lSNyiHil3tuiwtvEpN1qq,0.582,0.797,0.0334,0.23,0.0,0.132,0.595,135.973
5,37i9dQZF1DX1lVhptIYRda,6Tm4Io4ct4w14nB1EUzsY3,0.479,0.768,0.0312,7.02e-05,0.00549,0.121,0.576,110.024
6,37i9dQZF1DX1lVhptIYRda,2kEhQe0BVtY8IIaFE5ALA0,0.614,0.837,0.0255,0.45,2.49e-05,0.115,0.862,96.977
7,37i9dQZF1DX1lVhptIYRda,6VVqPBFZIbcmv14zNfOc13,0.79,0.325,0.127,0.509,0.0,0.155,0.539,126.877
8,37i9dQZF1DX1lVhptIYRda,1S55d7hhptRt8PS6nC1fSY,0.662,0.855,0.0457,0.021,0.0,0.228,0.84,120.079
9,37i9dQZF1DX1lVhptIYRda,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,0.0318,0.373,0.00107,0.126,0.252,196.0
10,37i9dQZF1DX1lVhptIYRda,3j1xkzTW8owIphkWV51V9s,0.542,0.82,0.0432,0.000682,0.000136,0.0561,0.702,124.85
11,37i9dQZF1DX1lVhptIYRda,200x8ONbPfFzByUr3fVz46,0.607,0.912,0.0611,0.124,0.0,0.332,0.722,134.944
12,37i9dQZF1DX1lVhptIYRda,6JSH36hKFusIabTu1egYO5,0.714,0.766,0.0365,0.0957,0.00183,0.0595,0.665,114.964
13,37i9dQZF1DX1lVhptIYRda,5gTQD1FjKMqUisgSD0uyb1,0.54,0.87,0.0487,0.0678,0.0,0.12,0.494,97.991
